Word ,Meaning 
quenching,"शमन, बुझाना"
quicklime,बिनबुझा चूना
quiescent sedimentation,शांत (निश्चल) अवसादन
radial drainge pattern,अरीय अपवाह पैटर्न
radiation,विकिरण
radiation absorbed dose,अवशोषित विकिरण मात्रा
radiation cooling,विकिरण शीतलन
radiation dose,विकिरण मात्रा
radiator,विकिरक
radioactive,रेडियोसक्रिय
radioactive solid waste,1. रेडियोसक्रिय ठोस अपशिष्ट
radiobiology,विकिरणजैविकी
radioecology,विकिरणपारिस्थितिकी
radioactive element,रेडियोसक्रिय तत्व
radioactive emission,रेडियोसक्रिय उत्सर्जन
radiometer,विकिरणमापी
rain forest,वर्षा वन
rain guage,वर्षामापी
rain water,वर्षा-जल
ramification,प्रशाखन
random sampling,यादृच्छिक प्रतिचयन
range,"1. परास 2. चरागाह 3. रेंज, राजि"
range management,चरागाह प्रबंधन
rank,"श्रेणी, कोटि"
rare species,दुर्लभ जाति
rate of growth,वृद्धि दर
ratio,अनुपात
raw sludge,अनुपचारित आपंक
raw water,अनुपचारित जल
reaction,1. अभिक्रिया 2. प्रतिक्रिया
reactant,अभिकारक
reactivation,पुनःसक्रियण
reactor,1. रिऐक्टर 2. अभिकारक
reagent,अभिकर्मक
recalcitrant,दुःसाध्य
reception,अभिग्रहण
recharge,पुनर्भरण
recharge of ground water,भौमःजल पुनर्भरण
recombination,पुनर्योजन
rectification,परिशोधन
recuperation,1. प्रति पुनः प्राप्ति 2. पुनर्लाभ/स्वास्थ्यलाभ
recycling,"पुनःचक्रण, पुनश्चक्रण"
recycling of solid waste,ठोस अपशिष्ट का पुनःचक्रण
red data book,संकटग्रस्त जीव पुस्तिका
redox potential,अपोपचय विभव
reduce,1. अपचयन करना 2. लघूकरण
reduced,"अपचित, लघूकृत"
reducer,"1. अपचायित्र (यंत्र), लघुकारक/ परिवर्तक 2. अपचायक (पदार्थ)"
reduction,1. अपचयन 2. न्यूनीकरण
redundancy,"अतिरेक, अतिरिक्तता"
reed,"नरकुल, नरई"
refinery,परिष्करणी
reforestation,पुनर्वनरोपण
regenerated water,पुनरुद्भूत जल
regeneration,1. पुनर्जनन 2. पुनरुद्भवन
region,"प्रदेश, क्षेत्र"
refuse,कचरा
regression analysis,समाश्रयण विश्लेषण
regulated system,नियमित प्रणाली
regulating reservoir,"नियामक जलाशय, नियामक भंडार"
regulator,नियामक
reinjection,पुनःअंतःक्षेपण
rejuvenation,पुनर्युवन
relative humidity,आपेक्षिक आर्द्रता
relic,अवशेष
remote sensing,सुदूर संवेदन
removal,"निष्कासन, पृथक्करण"
renewable energy,नवीकरणीय ऊर्जा
renewable resource,नवीकरणीय संसाधन
repellent,प्रतिकर्षी
replacement,प्रतिस्थापन
replication,1. प्रतिकृति 2. पुनरावृत्ति
repository,"आधान, निक्षेप-स्थान/स्थल"
representative sample,"निरूपक प्रतिदर्श, निरूपक नमूना"
reproduction,"पुनरुत्पादन, जनन"
reproductive rate,जनन दर
research station,अनुसंधान केंद्र
reserve,आरक्षित करना
reserve forest,आरक्षित वन
reservoir,"कुंड, हौज, जलाशय, भंडार"
residual,अवशिष्ट
residual fuel,अवशिष्ट ईंधन
resilience,"1. प्रतिस्थितित्व, प्रत्यास्थता 2. प्रतिस्कंदिता"
resilient,प्रतिस्कंदी
resistance,प्रतिरोध
resource,संसाधन
resource management,संसाधन प्रबंधन
respirable dust,श्वसनीय धूल
respiratory quotient,श्वसन-भागफल
respirometer,श्वसनमापी
response,1. उत्तर 2. अनुक्रिया
respiration,श्वसन
resting period,सुषप्ति काल
restoration,पुनःस्थापन
restoration ecology,पुनःस्थापन पारिस्थितिकी
resurgence,पुनरुत्थान
retardation,मंदन
retention period,धारण अवधि
reticulate,जालिकारूपी
retrogression,प्रतिक्रमण
return,प्रतिगमन
reuse,पुनः उपयोग
reverse osmosis,उत्क्रम-परासरण
reversion,1. प्रत्यावर्तन 2. उत्क्रमण
rheotaxis,धारानुचलन
rhizomorph,तंतुजटा
rhizome,1. प्रकंद 2. प्रमूल
rhizosphere,मूल परिवेश
ridge,"1. कटक 2. पर्वतश्रेणी 3. मेंड, डौल"
rig,रिग
ring,वलय
ring of fire,ज्वालामुखी पर्वतमाला
riparian,तटवर्ती
riparian habitat,तटवर्ती पर्यावास
risk assessment,जोखिम मूल्यांकन
risk management,जोखिम प्रबंधन
riverine environment,नदीय पर्यावरण
river profile,नदी परिच्छेदिका
river valley,नदी घाटी
rock mineral,शैल खनिज
rodenticide,कृतकनाशी
root,"जड, मूल"
root climber,मूल आरोही
root pressure,मूल दाब
root system,मूल तंत्र
rotary,घूर्णी
rough sea,क्षुब्ध सागर
rough weather,क्षुब्ध मौसम
ruderal,बंजर भूमिज
rudimentary,अल्पवर्धित
ruminant,"रोमन्थी, रूमिनैन्ट"
run-off,वाह
rural,ग्रामीण
rust,1. जंग 2. किट्ट
sabulicolous,बालुकावासी
sac,"थैली, कोश"
saline,"खारा, नमकीन, लवणी"
saline alkali soil,खारी क्षारीय मृदा
saline soil reclamation,लवण-मृदा उद्धार
saline water,"खारा पानी, लवण जल"
salinity,"लवणता, खारापन"
salinization,लवणन
salometer,लवणतामापी
salt,1. नमक 2. लवण
salt lake,खारी झील
salt pan,1. लवण क्यारी 2. लवण द्रोणी
saturated fat,संतृप्त वसा
sample,"नमूना, प्रतिदर्श, प्रतिचय"
sample size,प्रतिदर्श आमाप
sampling,प्रतिचयन
sampling error,प्रतिचयन नुटि
sand drift,बालू अपोढ
sand dune,बालू टिब्बा
sand trap,बालू रोधक
sandy,"रेतीली, बलुई"
sandy clay,बलुई मृत्तिका
sandy clay loam,बलुई मृत्तिका दुमट
sandy soil,बलुई मिट्टी
sanitary landfill,स्वच्छता भू-भरण
sanitary sewage,स्वच्छता वाहितमल
sanitation,स्वच्छता
sapling,पौध
saprobe,"मृतजीवी, पूतिजीवी"
saprophagous,मृतभक्षी
saprophyte,"मृतजीवी, पूतिजीवी"
saprophagous,मृतभक्षी
satellite treatment,1. उपग्रह उपचार 2. अनुषंगी उपचार
saturated,संतृप्त
saturated soil,संतृप्त मृदा
saturation line,संतृप्ति रेखा
saturation point,संतृप्ति बिंदु
savannah,सवाना
saxicolous (saxicol),शैलवासी
scale,"1. मापनी, पैमाना 2. शल्क"
scaling,शल्कन
scandent,आरोही
scansorial,वृक्षारोही
scatology,मलविज्ञान
scavenger,अपमार्जक
scintillation counter,प्रस्फुरण गणित्र
scion,कलम
sciophilous,छायारागी
scorpioid,"कुटिल, कुंडलित"
scouring,"निघर्षण, अभिमार्जन"
scrap,"1. उच्छिष्ट 2. खुरचन 3. रदूदी, स्क्रैप"
scrap iron,"रद्दी लोहा, स्क्रैप लोहा"
scrap material,"स्क्रैप सामग्री, उच्छिष्ट सामग्री"
screen,"1. छन्नी, चालनी (सं.); छानना,चालना (क्रि.) 2. आवरण, परदा"
screening,छानबीन
scrub,"1. कुंज, झाड़ 2. गुल्म"
scrubber,मार्जक
scum,पृष्ठमल
sea level rise,समुद्र तल उन्नयन
seasonal variation,"ऋतु विभिन्नता, मौसमी विचरण"
sea water distillation,समुद्री जल आसवन
sea weed,समुद्री अपतृण
sealing,बंद करना
seasonal,ऋतुनिष्ठ
sebaceous,1. वसासम 2. वसामय
Secchi disk,सेकी डिस्क
secondary,1. द्वितीयक 2. गौण
secondary consumer,द्वितीयक उपभोक्ता
secondary effluent,द्वितीयक बहिःस्राव
secondary growth,द्वितीयक वृद्धि
secondary pollutant,द्वितीयक प्रदूषक
secondary pollution,द्वितीयक प्रदूषण
secondary production,गौण उत्पादन
sedentary,1. अनूढ. 2. स्थानबद्ध
sedge,"प्रतृण, सेज"
sediment,"अवसाद, तलछट"
sediment pollution,तलछट प्रदूषण
sediment yield,तलछट प्राप्ति
sedimentary rock,अवसादी शैल
sedimentation,अवसादन
seed bank,बीज बैंक
seed certification,बीज प्रमाणीकरण
seedling,पौद
seepage,"अवस्रवण, रिसाव"
segregation,"संपृथकन, विसंयोजन"
seismic,भूकंपी
seismograph,भूकंपलेखी
seismology,भूकंपविज्ञान
selection,1. वरण 2. चयन
selection pressure,वरणात्मक दाब
selective herbicide,वरणात्मक शाकनाशी
selenotropism,चंद्रानुवर्तन
self-pollination,स्वपरागण
self-pruning,सहजपाती
self-regulation,स्वनियमन
self-sterility,स्वबंध्यता
semi annual,अर्धवार्षिक
semi-permeable membrane,अर्ध-पारगम्य झिल्ली
semi-arid,अर्ध-शुष्क
seminatural community,अर्ध-प्राकृतिक समुदाय
senescence,जीर्णता
senility,जीर्णता
Sense organ,ज्ञानेंद्रिय
sensible temperature,संवेद्य ताप
sensitive,1. संवेदनशील 2. सुग्राही
separation,पृथकन
septic,"पूतीभूत, सजर्म"
septic tank,सेप्टिक टैंक
sequential ageing,अनुक्रमिक जरण
sequential experimentation,अनुक्रमिक प्रयोग
seral state,क्रमावस्था
sereclimax,चरमपूर्व अवस्था
sere,क्रमावस्था
sericulture,रेशमकीटपालन
serology,सीरमविज्ञान
serum,सीरम
service reservoir,आपूर्ति जलाशय
sessile,1. अवृंत 2. स्थानबद्ध
seston,संप्लवक
settled sewage,स्थिर वाहितमल
sewage disposal,वाहितमल निपटान
sewage effluent standard,वाहितमल बहि:स्राव मानक
sewage purification,वाहितमल शोधन
sewage treatment,वाहितमल उपचार
sewer flushing,मलनल प्रधावन
sewer ventilation,मलनल संवातन
sewerage,वाहितमल-बव्यवस्था
sex differentaion,लिंग विभेदन
sexual dimorphism,लैंगिक द्विरूपता
sexual recombination,लैंगिक पुनःसंयोजन
sexual reproduction,लैंगिक जनन
sexual selection,लैंगिक वरण
shade plant,छायादार पादप
shade tolerant,छाया-सह
shaggy bush,सघन झाडी
shallow cultivation,उथली कृषि
shear,1. कर्तनी 2. अपरूपण
sheath,आच्छद
sheet erosion,परत अपरदन
shelter belt,रक्षक मेखला
shelter parasite,रक्षक परजीव
shielding,परिरक्षण
shield volcano,परिरक्षक ज्वालामुखी
shift,"1. सृति 2. विस्थापन 3. शिफ्ट, पाली"
shifting cultivaton,स्थानांतर कृषि
shock wave,प्रघाती तरंग
short day plant,अल्प-प्रदीप्ति पादप
shredding,"काटना, कर्तन"
shrimps,"चिंगट,भींगी"
shrubland,क्षुपस्थल
sibling species,सहोदर जाति
siccocolous,"मरुवासी, शुष्कस्थलवासी"
sieve,"चालनी, छन्नी"
sifting,"छंटाई, विचालन"
sigmoid curve,सिग्माभ वक्र
silicate mineral,सिलीकेट खनिज
silicosis,सिलिकामयता
silt,"गाद, पांशु"
silt clay loam,पांशु मृत्तिका दुमट
silurian period,सिल्यूरियन कल्प
silviculture,वनवर्धन
simulation,"अनुकरण, अनुकार"
single point source,एकल बिंदु स्रोत
sink,"1. हौदी, सिंक 2. निमज्जन"
sink and float treatment,निमज्जन-प्लवन उपचार
site index,स्थल सूचकांक
site quality,स्थल गुणता
sitology,आहारविज्ञान
slag,धातुमल
slaughter house waste,कसाईखाना अपशिष्ट
slime,अवपंक
sludge,आपंक
sludge digester,आपंक पाचित्र
sludge digestion,आपंक पाचन
sludge drying bed,आपंक शुष्कन क्यारी
sludge floatation,आपंक प्लवन
sludge loading rate,आपंक भारण दर
sludge pressing,आपंक दाबन
sludge pumping,आपंक पंपन
sludge reaeration,आपंक पुनर्वातन
sludge recycle line,आपंक पुनश्चक्रण लाइन
sludge stabilisation,आपंक स्थायीकरण
sludge withdrawal,आपंक निष्कासन
sluice way,जलकपाट मार्ग
slush,विपंक
small pox,चेचक
smear,"आलेप (सं.), आलेपन (क्रि. )"
smelt,"प्रगाल (सं.), प्रगलन (क्रि.)"
smelter,प्रगालक
smog,"धुहासा, धूमकुहा,"
smoke,"धूम, धुआं"
smudge,घना धुआं
smut fungi,कंड कवक
snow fall,"तुहिनपात, हिमपात"
snow survey,हिम सर्वेक्षण
social behaviour,सामाजिक व्यवहार
social group,सामाजिक समूह
social selection,सामाजिक वरण
society,समाज
sociobiology,समाजैविकी
sod,"तृणभूमि, सतृण भूखंड, सॉड"
soft iron,"मृदु लोहा, नर्म लोहा"
softening,मृदुकरण
soil,"मृदा, मिट्टी"
soil aeration,मृदा वातन
soil aggregate,मृदा समुच्चय
soil analysis,मृदा विश्लेषण
soil classification,मृदा वर्गीकरण
soil cohesion,मृदा संसंजन
soil conditioner,मृदा अनुकूलक
soil conservation,1. मृदा संरक्षण 2. भूमि संरक्षण
soil degradation,मृदा निम्नीकरण
soil depletion,मृदा ह्रासन
soil drainage,मृदा जल-निकास
soil erosion,मृदा अपरदन
soif fertility,मृदा उर्वरता
soil microbiology,मृदा सूक्ष्मजैविकी
soil moisture,मृदा नमी
soil morphology,"मृदा आकृतिविज्ञान, मृदा आकारिकी"
soil plasticity,मृदा सुघट्यता
soil porosity,मृदा सरंध्रता
soil profile,मृदा परिच्छेदिका
soil salinization,मृदा लवणीकरण
soil sterilization,मृदा निर्जर्मीकरण
soil survey,मृदा सर्वेक्षण
soiled,"मैला, दूषित"
solar collector,सौर संग्राहक
solar energy,सौर ऊर्जा
solar plant,सौर संयंत्र
solar power,सौर शक्ति
solarimeter,सौरविकिरणमापी
solid waste,ठोस अपशिष्ट
solid waste management,ठोस अपशिष्ट प्रबंधन
solonization,सोलोनन
solum,"संमृदा, सोलम"
somatic,"कायिक, दैहिक"
somatology,कायविज्ञान
soot,"कज्जल, काजल"
sorting,छंटाई
sounding,गभीरतामापन
spasm,"ऐंठन, आकर्ष"
specialised farming,विशिष्ट कृषि
specialization,विशिष्टीकरण
speciation,जाति उद्भवन
species,"जाति, स्पीशीज"
species diversity,जाति विविधता
specific,विशिष्ट
specific retention,विशिष्ट धारण
specific yield,विशिष्ट प्राप्ति
specimen,नमूना
spectrometer,स्पेक्ट्रममापी
spectrophotometer,स्पेक्ट्रमप्रकाशमापी
speed sprayer,द्रुत फुहारा
spill,अधिप्लव
spilling,अधिप्लवन
spoil,विकृत
spore,बीजाणु
sporogenesis,बीजाणुजनन
sporulation,बीजाणुकजनन
spray irrigation ,फुहार सिंचाई
spraying,"फुहारना,"
spring cultivation,बसंत कृषि
spring tide,बृहत्‌ ज्वार
sprout,अंकुर
squall,चंडवात
stability,स्थायित्व
stabilization,स्थायीकरण
stable,स्थायी
stack,1. चिति 2. चिमनी
stagnation,प्रगतिरोध
staining,अभिरंजन
standard,मानक
standard climate,मानक जलवायु
standard condition,मानक अवस्था
standardisation,मानकीकरण
standing biomass,स्थिर जैवभार
standing crop,खड़ी फसल
standing state,स्थायी स्थिति
standing water,अप्रवाही जल
standing water level,अप्रवाही जलस्तर
staple crop,प्रमुख फसल
static,"स्थैतिक, स्थिर"
stationary source,स्थिर स्रोत
statistics,सांख्यिकी
steno,1. अल्प 2. तनु
stenobathic,अल्पगभीरी
stenohaline,अल्पलवणी
step aeration,क्रमिक वातन
stereoscope,त्रिविमदर्शी
steppe,घासक्षेत्र
sterile,1. अनुर्वर 2. निर्जर्म 3. बंध्यकर
sterilization ,1. अनुर्वरीकरण 2. बंध्यकरण 3. निजर्मीकरण
sterilization,1. अनुर्वरीकरण 2. बंध्यकरण 3. निजर्मीकरण
stimulant,उद्दीपक
stimulation,उद्दीपन
stolon,"देहांकुर, भूस्तारी"
stoma,1. रंध्र 2. मुख
stony waste,पथरीली अपशिष्ट
storage,भंडारण
strain,1. प्रभेद 2. विकृति
stratification,स्तरण
stratopause,समतापसीमा
stratopshere,समपातमंडल
sream,धारा
stress,प्रतिबल
strong breeze,प्रबल समीर
structure,संरचना
sub-climax,उपचरम
sub-critical flow,उपक्रांतिक प्रवाह
sublimation,ऊर्ध्वपातन
sublittoral,उपवेलांचली
submerged forest,निमग्न वन
submerged zone,निमग्न क्षेत्र
submergence ,निमज्जन
submergence ,निमज्जन
subsistence crop,"निर्वाह सस्य, जीविका फसल"
subsistence farming,"जीविका खेती, निर्वाह सस्यन"
subsoil,अवमृदा
subspecies,उपजाति
substrate,"1. कार्यद्रव 2. अवस्तर, क्रियाधार"
substratum,1. अधःस्तर 2. आधार
suburban,उपनगरीय
succession,अनुक्रमण
succession cropping,अनुक्रमिक सस्यन
succulent,गूदेदार
sucker,1. चूषक 2. अंतःभूस्तारी
sullage,मलजल
sulphur cycle,गंधक चक्र
sultry weather,उमसदार मौसम
super-species,अधिजाति
superantant,अधिप्लवी
superparasite,अधिपरजीवी
supersaline water,अतिलवणीय जल
surf,1. समुद्रतटीय तरंग 2. झाग
surface drainage,पृष्ठीय अपवाह
surface impoundment,पृष्ठीय अवरोध
surface run off,पृष्ठीय वाह
surface tension,पृष्ठ तनाव
surface topography,पृष्ठ स्थलाकृति
surface water,भूपृष्ठ जल
survival of the fittest,योग्यतम की उत्तरजीविता
survival potential,उत्तरजीविता क्षमता
survivorship,उत्तरजीविता
suspended particle,निलंबित कण
suspension,निलंबन
sustainable,"संधार्य, संधारणीय"
sustainable agriculture,संधारणीय कृषि
sustainable development,संधारणीय विकास
sustainable energy,संधारणीय ऊर्जा
swamp,"दलदल, अनूप"
swamp forest,दलदली वन
sweep,"प्रसर्प, मार्जन"
swirl,भंवर
symbiont,सहजीवी
symbiosis,"सहजीवन, सहजीविता"
symbiotic,सहजीवी
sympatric,समस्थानिक
symphysis,संधान
synapsis,सूत्रयुग्मन
synecology,संपारिस्थितिकी
synergistic,योगवाही
synergism,योगवाहिता
synergistic effect,योगवाही प्रभाव
synthesis,संश्लेषण
synthetic,संश्लिट
system,1. तत्र 2. प्रणाली
systematics,वर्गीकरण विज्ञान
systemic,सर्वांगी
systemic insecticide,सर्वांगी कीटनाशी
synthol process,सिंथॉल प्रक्रम
taiga,टैगा
talus,"शैलमलवा, पादमलवा"
tame pasture,संवर्धित चरागाह
tannery waste,चर्म परिष्कार अपशिष्ट
tap root system,मूसला जड़-तंत्र
tar,"1. पंखिया ताड 2. डामर, तारकोल"
taxis,अनुचलन
taxon,"वर्गक, टैक्सोन"
taxonomic classification,वर्गिकीय वर्गीकरण
taxonomy,वर्गिकी
technology,प्रौद्योगिकी
tectology,संरचनात्मक आकृतिकी
tectonic,विवर्तनिक
tectonic plate,विवर्तनिक प्लेट
tectonics,विवर्तनिकी
teflon,टेफ्लॉन
teleoclimate,सीमांत जलवायु
teleology,उद्देश्यवाद
temperate Himalyan region,शीतोष्ण हिमालय क्षेत्र
temperate zone,शीतोष्ण कटिबंध
temperature coefficient,ताप गुणांक
temperature gradient,ताप प्रवणता
temperature inversion,ताप व्युतक्रमण
temperature of the dew point,ओसांक ताप
tempering,"पायन, टैम्पर"
temporary hardness,अस्थायी कठोरता
terminal pond,अंतस्थ ताल
terrace,वेदिका
terrace cultivation,वेदिका कृषि
terracing,वेदिकाकरण
terrestrial,"स्थलीय, पार्थिव"
territory,"प्रदेश, क्षेत्र"
tertiary,तृतीयक
Tertiary and Mesozoic period,तृतीयक तथा मध्यजीवी कल्प
tertiary treatment,तृतीयक उपचार
textile industry waste,वस्त्रोद्योग अपशिष्ट
texture,"संव्यूति, गठन"
thermal stratification,तापीय स्तरण
thermal,1. तापीय 2. ऊष्मीय
thermal emission,तापीय उत्सर्जन
thermal energy,ऊष्मीय ऊर्जा
thermal pollution,तापीय प्रदूषण
thermal radiation,ऊष्मीय विकिरण
thermal receptor,तापग्राही
thermal transpiration,तापीय वाष्पोत्सर्जन
thermal water,"ऊष्मीय जल, तापीय जल"
thermal wind,तापीय पवन
thermistor,"थर्मिस्टर, तापीय प्रतिरोधक"
thermodynamics,ऊष्मागतिकी
thermodynamics,ऊष्मागतिकी
thermograph,तापलेखी
thermonasty,ताप-अनुकुंचन
thermophilous,तापरागी
thermophyte,तापोद्भिद्‌
thermoregulation,ताप-नियमन
thermosphere,ताप वायुमंडल
thermostat,तापस्थायी
thermotaxis,ताप-अनुचलन
thigmotaxis,स्पर्शानुचलन
threatened species,विलोपोन्मुखी जाति
threshold,देहली
threshold level,देहली स्तर
threshold limit value,देहली सीमा मान
tidal,"ज्वारीय, ज्वार"
tidal current,ज्वारीय धारा
tidal power,"ज्वारीय शक्ति, ज्वारीय ऊर्जा"
tidal range,"ज्वारीय परास, ज्वारीय रेंज"
tidal wave,ज्वारीय तरंग
tide,ज्वार
tiger project,बाघ परियोजना
tillage,"कर्षण, जुताई"
tillering,तलशाखन
tiltmeter,"टिल्टमापी, नतिमापी"
timber,"टिम्बर, प्रकाष्ठ"
timber line (tree line),वृक्ष सीमा
tiphicolous,तालवासी
tissue culture,ऊतक संवर्धन
tolerance,"सह्यता, सहनशीलता"
tolerance limit,सह्यता सीमा
tolerant,"सह्य, सहनशील"
top dressing,"सस्य उर्वरण, फसल में खाद बिखेरना"
top soil,उपरिमृदा
topographic,कृतिक
topography,स्थलाकृति
torrential,वेग प्रवाही
total oxygen demand,"संपूर्ण ऑक्सीजन मांग, संपूर्ण ऑक्सीजन आवश्यकता"
toxic,आविषी
toxicant,आविषाक्त
toxicity,आविषालुता
toxicology,आविष विज्ञान
toxin,आविष
trace element,सृक्ष्मात्रिक तत्व
trade effluent (industrial effluent),औद्योगिक बहि:स्राव
trade waste (industrial waste),औद्योगिक अपशिष्ट
trade wind,व्यापारिक पवन
trailing,तलसर्पी
transfrontier pollution,सीमापार प्रदूषण
transfrontier pollution,सीमापार प्रदूषण
transmission loss,संचरण हास
transpiration,वाष्पोत्सर्जन
transpiration coefficient,वाष्पोत्सर्जन गुणांक
translocation,स्थानांतरण
transportation,1. अभिगमन 2. परिवहन
trapping,संपाशन
trash,कचरा
treated sewage,उपचारित वाहितमल
treatment,उपचार
tree-line (timber line),वृक्ष सीमा
trenching,खाई खोदना
Triassic period,ट्राइऐसिक कल्प
tribe,1. संवर्ग 2. जनजाति
trophic,पोषी
trophic level,पोषी स्तर
trophic sturcture,पोषी संरचना
tropical cyclone,उष्णकटिबंधीय चक्रवात
tropical cyclone,उष्णकटिबंधीय चक्रवात
tropics,उष्णकटिबंध
troposphere,क्षोभमंडल
true density of soil,वास्तविक मृदा घनत्व
tsunami,सुनामी
tuberculosis,"तपेदिक, टी.बी., यक्ष्मा"
tundra soil,टुंड्रा मृदा
turbidity,आविलता
turbulence,प्रक्षोभ
typhoon,टाइफून
ubiquitous species,सार्वत्रिक जाति
ultrapure water,अतिशुद्ध जल
ultrasonic,पराश्रव्य
ultra-violet (UV) radiaiton,पराबैंगनी विकिरण
underground water,भूमिगत जल
unisexual,एकलिंगी
upland catchment water,उच्चभूमि ग्रही जल
upwelling,उत्स्रवण
urban decay,नगरीय क्षय
urban ecosystem,नगरीय पारितंत्र
urban environment,नगरीय पर्यावरण
urban forestry,नगरीय वानिकी
urban run-off,नगरीय वाह
urbanization,नगरीकरण
vaccine,"वैक्सीन, टीका"
vacuum cleaner,निर्वात मार्जक
vagrant animal,जंगम प्राणी
valve,"वाल्व, कपाट"
vaporization,वाष्पन
vapour,वाष्प
vapour pressure,वाष्प दाब
variable,1. परिवर्ती 2. चर
variant,"परिवर्त, विभिन्न रूप"
variation,"विविधता, विभिन्नता"
variety,"किस्म, उपजाति"
vector,1. रोगवाहक 2. सदिश
vector control,रोगवाहक नियंत्रण
vegetable,1. वनस्पति 2. शाक
vegetation,वनस्पति
vegetation belt,वनस्पति मेखला
vegetation cover,वनस्पति आवरण
vegetation region,"वनस्पति प्रदेश, वनस्पंति क्षेत्र"
vegetative,1. वानस्पतिक 2. कायिक
vegetative propagation,कायिक वर्धन
vegetative reproduction,कायिक जनन
velocity gradient,वेग प्रवणता
veneer,1. शल्कन 3. वेनीयर 3. पृष्ठावरण
vent,"द्वार, निकास"
venturi scrubber,वेंचुरी मार्जक
verification,"सत्यापन, जांच"
vermiculture,कृमिपालन
vernalisation ,बसंतीकरण
vernalisation,बसंतीकरण
viability,जीवनक्षमता
viable,जीवनक्षम
vigour,ओज
virescent,हरिताभ
virgin,अक्षत
virgin forest,अक्षत वन
virtual point source,आभासी बिंदु स्रोत
virus,विषाणु
viscocity,श्यानता
visibility,दृश्यता
vital,जैव
vitality,जीवनशक्ति
vitamin,विटामिन
viticulture,"अंगूरकृषि, द्राक्षाकृषि"
viviparous,जरायुज
volatile,वाष्पशील
volcanic ash,ज्वालामुखी राख
volcano,ज्वालामुखी
vulnerable,सुभेद्य
vulnerable species,सुभेद्य जाति
warm blooded,नियततापी
warm rain,उष्ण वर्षा
waste,अपशिष्ट
waste management,अपशिष्ट प्रबंधन
waste sludge,अपशिष्ट आपंक
waste stabilisation pond,अपशिष्ट स्थिरीकरण ताल
waste treatment plant,अपशिष्ट उपचार संयंत्र
waste water,अपशिष्ट जल
water balance,जल संतुलन
water bloom,जल प्रस्फुटन
water borne ,1. जलवाहित 2. जलोढ़
water borne,1. जलवाहित 2. जलोढ़
water cess,जल उपकर
water conservation,जल संरक्षण
water content,जलांश
water cooling system,जल शीतलन तंत्र
water disposal system,जल निपटान तंत्र
water erosion,जल अपरदन
water guage,जल प्रमापी
water holding capacity,जल धारण क्षमता
water intake,जल अंतर्ग्रहण
water level,जल तल
water line,जल रेखा
waterlogged,जल-आप्लावित
waterlogging,जल-आप्लावन
water loss,जल ह्रास
water pollution control,जल प्रदूषण नियंत्रण
waterproof,"जल-सह, जल-रोक"
water protection area,जल संरक्षण क्षेत्र
water purification,जल शोधन
water quality,जल गुणता
water related diseases,जलाश्रित बीमारियां
water resource,जल संसाधन
watershed,"जलागम, जल संभर"
watershed management,जलागम प्रबंधन
water supply system,जलापूर्ति प्रणाली
water table,भौम जलस्तर
water-soaked,जल-सिक्त
wave period,तरंग आवर्तकाल
wave velocity,तरंग वेग
weather forecast,मौसम का पूर्वानुमान
weathering,"अपक्षयन, अपक्षय"
weed,"अपतृण, खरपतवार"
weed species,अपतृण जाति
weir,बंधिका
wet,"आर्द्र, क्लेदित"
wet cyclone,आर्द्र चक्रवात
wet swale,नम घाटी
whirlpool,"जलावर्त, भंवर"
wild,"जंगली, वन्य"
wilding,वन्यन (प्राणी)
wildlife,"1. वन्यजीव, वन्य प्राणी 2. वन्य जीवन"
wildlife area improvement,वन्यजीव क्षेत्र सुधार
wildlife conservation,वन्यजीव संरक्षण
williwaw,"प्रचंड शीतल पवन, विलिवॉ"
willy-willy,विली विलि (टॉरनेडो)
wilt,म्लानि
wind break,पवन रोध
wind erosion,वातीय अपरदन
wind power,"पवन शक्ति, पवन ऊर्जा"
windstorm,तूफान
windy,वातिल
winter green,शीतकालीन हरित
winter hardy,शीत सहिष्णु
witches broom disease,कूर्चीसम रोग
wither,मुरझाना
withering,1. मुरझाना 2. मुरझाने वाला
wood charcoal,काष्ठ कोयला
woodland,"वनस्थली, वन"
World Commission On Environment,विश्व पर्यावरण आयोग
World Environment Day,विश्व पर्यावरण दिवस
World Meteorological Organisation,विश्व मौसमविज्ञान संगठन
World Wildlife Fund,विश्व वन्यप्राणी कोष
worm disease,कृमि रोग
wriggling movement,परिसर्पण गति
xeric,शुष्क
xerophilous,मरुरागी
xerophyte,मरूद्भिद्‌
xerosere,मरुक्रमक
xerothermic period,मरुतापी काल
xerotropism,मरुअनुवर्तन
xylophilous,काष्ठरागी
xylotomous,काष्ठकर्तक
yard waste,यार्ड अपशिष्ट
yield,"1. लब्धि, प्राप्ति 2, उपज"
yield ratio,लब्धि अनुपात
yielder,उत्पादक
Zero-air,शून्य-वात
zero-point,शून्य-बिंदू
zero population growth,शून्य जनसंख्या वृद्धि
Zimmerman process,जित्सिमरमन प्रक्रम
zonation,अनुक्षेत्र वर्गीकरण
zone,"क्षेत्र, अंचल"
zone of aeration,वातन क्षेत्र
zone of saturation,संतृप्ति क्षेत्र
zone of silence,नीरवता क्षेत्र
zoogeography,प्राणिभूगोल
