English,Hindi,Definition
Pitch Angle,अन्तराल कोण,बेवल गियर के अक्ष और अन्तराल शंकु जनित्र के बीच का कोण ।
Pitch Circle,अन्तराल-वृत्त,"दो दाँते एक दूसरे को चलाने के लिये किसी बिन्दु अथवा रेखा पर स्पर्श करते है। केन्द्र से इस स्पर्शी बिन्दु तक की दूरी को अर्धव्यास मानकर जो काल्पनिक वृत्त बनता है, इस वृत्त को अन्तराल वृत्त कहते हैं ।"
Pitch Cones,अन्तराल शंकु,"बेबेल गियर के सम्पर्क शंकु, जिस पर अभिलम्ब दाब कोण बराबर होते हैं। वे गियरों के घूर्णन के साथ समाक्षीय होते हैं ।"
Pitch Control,अन्तराल नियंत्रण,"किसी हैलीकॉरएर के मुख्य रोटर का सामूहिक और चक्रीय अन्तराल
 नियंत्रण ।"
Pitch curves,अन्तराल वृत्त,अन्तराल शंकु में दंत पृष्टों का अन्तराल ।
Pitch Cylinder,अन्तराल सिलिण्डर,"वर्म व्हील का सिलिण्डर जो अपनी घूर्णा-अक्ष के सामन्तर होता
 है तथा जिस पर अनुप्रस्थ अन्तराल अक्षीय अन्तराल के बराबर होता है ।"
Pitch Diameter,अन्तराल व्यास,अन्तराल वृत्त या गियर के सिलिण्डर का व्यास
Pitch line,अन्तराल रेखा,"वहरेखा या वृत्त, जिस पर चक्र दतो का अन्तराल मापा जाता है ।"
Pitch Plane,अन्तराल समतल,"अक्षीय दाँतेदार वर्म-पहियों में वह समतल, जो वर्ग और पहिया दोनों के अक्ष के समान्तर होता है तथा वर्म-पहिये के अन्तराल सिलिण्डर के स्पर्शी होता है।"
Pitch Point,अन्तराल बिन्दु,"(क) किसी गरारी के अन्तराल वृत्तों के युगल का स्पर्श बिन्दु ।
 (ख) वह बिन्दु जहाँ पर अन्तराल रेखा पेंच-चूड़ी के फलक को काटती है।"
Pitch setting,अन्तराल समायोजन,समायोज्य अन्तराल-नोदक का ब्लेड कोण ।
Pitch surface,अन्तराल-पृष्ठ,"वे पृष्ठं, जो बिना सर्पण के साथ-साथ घूमती हैं जैसे बेवल गियरों के अन्तराल शंकु और स्पर तथा कुण्डलिनी गियर के अन्तराल सिलिण्डर ।"
Pit-head Gear,गर्त-हैड गियर,"गर्त-मुख पर स्थापित अपने ढाँचे के साथ सम्पूर्ण मशीनरी, जो पिंजर को ऊपर और नीचे ले जाती हैं।"
Pitot tube,पिटो नलिका,एक प्रकार की नलिका जिसका मुख वायु-प्रवाह की ओर होता है और यह गतिज दाब को मापती है।
Pit wheel,गर्त पहिया,जल या वात-पेष्णी में प्राय: प्रथम गति-पहिया जोकि एक चूल पहिया होता है और गर्त में क्षैतिज-अक्ष पर घूमता है।
Planer Centre,समतलित्र-केन्द्रक,"खराद पापेट के समान शीर्ष, जिनका उपयोग अपघर्षित्र एवं समतलित्र मशीनों की कार्य पटल पर कार्य को थामे रखने के लिये होता है ताकि कार्य को घुमाया जा सके ।"
Planet wheel,ग्रह पहिया,"वह पहिया, जो किसी दूसरे पहिये के अन्दर या बाहर घूमता है जिसके दुकरा इसे चलाया जाता है। कभी-कभी यह अपनी निजी शॉफ्ट दुवारा भी चलाया जाता है।"
Planetary Gear,ग्रहीय गियर,"वह गियर, जो किसी दूसरे चक्र के चारों तरफ चक्रीय पथ बनाती है ।"
Planing,समतलन,इस प्रक्रम में समतल पृष्ठों से कर्तन-औजारों द्वारा फालतू द्रव्य हटाकर अपेक्षित समतलता उपलब्ध की जाती हैं। लकड़ी के मामले में हस्त ओजार एवं समतलक मशीनों को इस्तेमाल किया जा सकता है जबकि धात्विक पृष्टों के समतलन में समतलक मशीनों का इस्तेमाल किया जाता है।
Planing Machine,समतलक मशीन,"वह मशीन, जिसमें क्षेतिजतः प्रत्यागामी रैम में क्लैपर बक्स के साथ औजार-धारक लगा होता है तथा कार्य, अचल तथा समायोज्य कार्य-पटल पर बंधा होता है। रेम को प्रत्यागामी गति हिट वर्थ-द्रुत वापसी मोशन यंत्रावली द्वारा दी जाती है।"
Planishing hammer,घातचिपिटक घन,यह एक मशीन चालित घन हैं जिसका उपयोग चादर धातु की प्लटों के घातचिपिटन में किया जाता है। इस घन के लगभग 300 प्रहार प्रति मिनट पड़ते है।
Planning section,योजना कक्ष,"उत्पदान से पूर्व, उसका योजनात्मक अवलोकन इस कक्ष में होता है ।"
Pneumatic Drill,वायुचालित बरमा,"वह बरमा, जो सम्पीडित वायु द्वारा चलाया जाता है।"
Point chuck,सूच्यग्र-चक,वह एक नुकीला केन्द्रक है जिसे खराद मशीन के हैडस्टॉक में संलग्न करते हैं जिसका काम केन्द्रकों के मध्य कीलकित जॉब को घुमाना है।
Positive displace Pump,निश्चित विस्थापन पम्प,"क्ह पम्प, जिसके अन्दर तरल को प्राकृतिक रुप में विस्थापित करके उसे प्रवाहित किया जाता है।"
Polytropic expansion,पॉलीट्रोपिक प्रसरण/बहुविधि प्रसारण,"इस प्रकार के प्रसार में गैस, pv∧n = C नियम को पालन करती
 है यहाँ पर N कोई भी मान हो सकता है जो प्रसार की विधि
 पर निर्भर करता है।"
Potential energy,स्थितिज ऊर्जा,ऊँचाई के कारण जनित होने वाली ऊर्जा को स्थितिज ऊर्जा कहते हैं
Power driven pump,शक्ति चालित पम्प,"इन पम्पों में क्रैंक, संयोजी-दण्ड तथा पिस्टन-दण्ड लगे होते हैं।
 क्रैंक शक्ति से घूर्णित होता है तथा पिस्टन को प्रत्यागमित करता है ।"
Power Hammer,शक्ति हथोडा,किसी भी प्रकार का हथौड़ा जो लगातार किसी शक्ति स्रोत से चलाया जाता है।
Pre-ignition,पूर्व-प्रज्वलन,"अंतर्दहन इंजन के सिलिण्डर में ईधन-मिश्रण का समय से पहले
 प्रज्वलित होना ।"
Pre-selector Gear-box,पूर्व-निर्धारक गियर-बॉक्स,गियर-बॉक्स में जरुरत से पहले छोटे लीवर की सहायता से गरारी-अनुपात का निर्धारण बाद में पैडल पर दबाव डालकर गरारी को संयोजीत कर दिया जाता है।
Pressure and velocity compounding (In Turbine),दबाब तथा वेग संयोजन,"इस विधि में दबाव तथा वेग दोनों में संयोजन करके शक्ति
 प्राप्त की जाती है।"
Pressure compounding (In Turbine),दाब संयोजन,इसमें दाब संयोजन करके शक्ति प्राप्त की जाती है।
Pressure lubricator,दाब स्त्रेहक,इस विधि में पम्प-दाब द्वारा मशीन के विभिन्न कलपुर्जो को स्त्रेहित किया जाता है।
Priming,प्राइमन,पम्प को चलाने से पूर्व नोदक कोश तथा चूषण नल को जल से भर दिया जाता है इस क्रिया को प्राइमन कहते है।
Production Engineer,उत्पादन इंजीनियर,"उत्पादन इंजीनियर, कार्यशाला अधीक्षक या प्रबन्धक के नीचे होता
 है तथा कार्यशाला के उत्पादन सम्बन्धी सभी कार्यो की देखरेख करता है ।"
Production workshop,उत्पादन कार्यशाला,"वह कार्यशाला, जिसका मुख्य कार्य कम से कम मूल्य पर अधिक से अधिक उत्पादन करके उनके विक्रय की पूर्ण व्यवस्था करता है।"
Propeller Blade,नोदक ब्लेड,"नोदक की भुजायें जिनके अनुप्रस्थ परिच्छेद वायुपत्रक या जलपत्रक
 के आकार के होते हैं।"
Propeller Efficiency,नोदक दक्षता,इंजन-शाफ्ट द्वारा दिये गए बलाघूर्ण और नोदक के बल का अनुपात नोदक दक्षता कहलाता है।
Propeller Fan,नोदक पंखा,वायुपत्र के ब्लेडों से लगा प्रणोदक या रोटर जो सिलिण्डर केस में कार्यरत रहता है ताकि वायु की धारा प्रवाहित रहे।
Propeller shaft,नोदक शाफ्ट,वह शाफ्ट जो इंजन शक्ति क गियर बॉक्स से किसी मोटर के अगले धुरी को देती है।
Pump,पम्प,"वह युक्ति, जो यांत्रिक ऊर्जा को द्रवीय ऊर्जा में रूपांतरित करती है ।"
Pump stage,पम्प पद,यदि जल का दाब एक नोदक की अपेक्षा कई नोदकों द्वारा बढ़ाया जाए तो उन अलग-अलग नोदकों को पम्प पद कहते हैं ।
Pumping machinery,पम्पिंग मशीनें,"वह मशीनें, जो द्रव को एक स्थान से दूसरे स्थान पर स्थानान्तरित
 करती हैं।"
Punch,पंच/छिद्रक,इस्पात का बना अघूर्णी औजार जो घन प्रहार की सहायता से प्लेट से एक निश्चित आकार का हिस्सा निकालने का काम करता है। प्लेट एक डाई पर टिकी होती है जिसकी परिच्छेदिका उसी के आकार की लेकिन कुछ बड़ी होती है। पंच हो हस्त या यांत्रिक शक्ति द्वारा चलाया जाता है।
Punching,छिद्रण,इस प्रक्रम में छिद्रण मशीन द्वारा अघूर्णी औजार पंच/छिद्रक की सहायता से धातु की प्लेटों में छिद्र किये जाते हैं इसका उपयोग आमतौर पर बॉयलर विभाग में होता है।
Qualitative governing,गुणात्मक अधिनियंत्रण,यह विधि डीजल इंजन में काम आती है। इसमें मिश्रण की शक्ति अपकेन्द्र-गति-अधिनियंत्रक द्वारा परिवर्तित की जाती है। इसमें तेल की मात्रा नियंत्रित होती है तथा वायु की मात्रा एक समान रहती है ।
Quantitative governing,मात्रात्मक अधिनियंत्रण,अधिनियंत्रण की यह विधि पैट्रोल तथा गैस इंजनों में काम आती है । इसमें पैट्रोल तथा वायु के मिश्रण की मात्रा नियंत्रित होती है ।
Quarter-turn Belt Drive,चतुर्थाश मरोड पट्टा चालन,इसमे शाफ्ट-अक्ष परस्पर समकोणित होते हैं। समकोण पर शक्ति संचारण के लिए यह व्यवस्था उपयुक्त होती हे।
Quenching baths,मज्जशीतक कुण्ड,ऊष्मा उपचार के लिए प्रयोग किये जाने वाला कुण्ड ।
Quick Gear,तीव्र गियर,"मध्यवर्ती गियरों के बिना, क्रेन का सीधा उत्थान ।"
Quick Return,तीव्र वापसी,किसी मशीन के कर्तन स्ट्रोक की अपेक्षा वापसी स्ट्रोक का अधिक तीव्र होना ताकि औजार के निष्क्रिय-समय को कम किया जा सके ।
Radially inwarc flow Turbine,त्रिज्यीय अंतर्मुख प्रवाह टरबाइन,इस प्रकार की टरबाइनों में जल धावक/रनर में बाहर की परिधि से प्रविष्ट होकर त्रिज्य रूप में केन्द्र की ओर प्रवाहित होता है ।
Radially Outward flow turbine,त्रिज्यीय बहिर्मुख प्रवाह टरबाइन,इनमें जल धावक/रनर की भीतरी परिधि से प्रविष्ट होकर बाहर की ओर जाता है।
Radial drilling machine,त्रिज्य बरमा मशीन,इस प्रकार की बरमा मशीन में बरमाधारक एक भुजा पर आरोपित रहता है। यह भुजा उदग्र-स्तम्भ के चारों ओर घुमाई जा सकती है। छिद्रण हेतु बरमाधारक को भुजा पर किसी भी अपेक्षित बिन्दु तक सरकाया जा सकता है। आधुनिक मशीनों में बरमाधारक के ऊपर या सीधे स्तम्भ पर विद्युत मोटर आरोपित रहता है। गियर और शैफ्ट द्वारा बरमा-तर्कु को शक्ति संचारित की जाती है। प्रायः इसे त्रिज्य बरमा कहते हैं।
Radial system,त्रिज्य तंत्र,"वितरण-तंत्र जिसमें केन्द्रीय उप-केन्द्र से बाहर जाने वाली लाइनों
 को केवल एक सिरे से सप्लाई दी जाती है। यह तंत्र अन्य तंत्रों (जैसे वलय तंत्र) की अपेक्षा सस्ता, लेकिन कम विश्वसनीय है।"
Ratio meter,अनुपात मापी,"एक उपयंत्र, जिसकी संक्रिया दो अलग-अलग परिपथों या एक परिपथ की शाखाओं की धाराओं के मध्य अनुपात पर निर्भर करती है।"
Reactance drop,प्रतिघात पात,परिपथ के अन्दर आन्तरिक प्रतिघात विभव के कारण परिपथ के निर्गम विभव में गिरावट ।
Reactance voltage,प्रतिघात विभव,परिपथ के प्रतिघात के अन्दर बहने वली धारा के कारण विभव या पश्च विद्युत-वाहक-बल। यह धारा और प्रतिघात का उत्पाद है और धारा में परिवर्तनों का विरोध करता है।
Reaction Turbine,प्रतिक्रिया टरबाइन,"इसमें ब्लेड पर प्रवाहित भाप रुद्धोष्म रीति से प्रवाहित होती है तथा ब्लेड नोजल का कार्य करते हैं।
 जल यांत्रिकी में, वह टरबाइन जिसमें जल दाब या दाबोच्चता का प्रयोग किया जाता है न कि जल वेग या आवेग का। इसमें जल दाब वायुमंडलीय दाब से अधिक रहता है। इसमें निर्देशक-फलक लगे होते हैं जो जलधारा को चक्राल पर विक्षेपित करते हैं। पूर्ण पथ जल से भण रहता है। जल की दिशा एवं संवेग में परिवर्तन के कारण चक्राल घूमने लगता है।"
Reactive factor,प्रतिघाती गुणक,प्रतिघाती वोल्ट-एम्पियर और समग्र वोल्ट-एम्पियर का अनुपात ।
Reactive load,भ्रतिघाती भार,"भार, जिसमें टर्मिनल पर धारा और विभव के बीच 90 अंश का कलान्तर होता है।"
Reactor,रियिक्टर/प्रतिघातित्र,एक परिपथ युक्ति जिसका मुख्य अभिलक्षण प्रतिघात है। प्रेस में प्रतिघात प्रेरक होता है जबकि संधारसित्र में यह संधारी होता है ।
Reaming,अधिछिद्रण,अधिछिद्रक/रीमर की सहायता से छिद्र को परिवर्तित करने एवं चिकना बनाने का प्रक्रम।
Reciprocity theorem,व्युदकम्रता प्रमेय,"जाल-विश्लेषणार्थ एक प्रमेय। यदि जाल की शाखा-ए में ज्ञात विद्युत वाहक बल शाखा-बी में धारा उत्पन्न करता है, तो शाखा-बी में उत्पन्न वही विद्युत वाहक बल शाखा-ए में वही धारा उत्पन्न करेगा। ऐसे मामले में विद्युत वाहक बल और धारा का अनुपात अन्तरक प्रतिबाधा कहलाता है।"
Reclamation Section,उद्धार कक्ष,"वह सैवशन, जो मशीनरी आदि में उद्धार कार्य करता रहता है ।"
Re-entrant Or Borda’s mouth piece,अंतः प्रविष्ठ या बोर्डा मुखिका,"वह आन्तरिक मुखिका जिसकी दिशायें समान्तर और कोरे तीक्ष्ण हो, अंतः प्रविष्ट या बोर्डा मुखिका कहलाती है। यह द्रव के अन्दर अपने व्यास की कम से कम 2.5 गुना लम्बाई तक अन्दर रहती है।"
Relative coefficient of performance,सापेक्ष निष्यादन गुणांक,वास्तविक कार्य गुणांक और सैद्धान्तिक कार्य गुणांक का अनुपात ।
Relative efficiency,सापेक्ष दक्षता,ऊष्मीय दक्षता और मानक दक्षता का अनुपात।
Repair workshop,सुधार कार्यशाला,"वह कार्यशाला, जिसका मुख्य उद्देश्य कार्य की उत्तमता तथा समय की पाबन्दी व शीघ्रता पूर्वक सुधार कार्य निपटाना है। इस कार्यशाला में मशीनें सुधारने के पर्याप्त सधन उपलब्ध होते हैं ।"
"rest, follow",अनुगामी टेक,यह अनुगामी टेक प्रायः खराद मशीन में प्रयुक्त होती है इसका काम औजार के दबाव के कारण कार्य में होने वाले विक्षेप को रोकना है। इसे खराद की काठी पर बांधा जाता है तथा काठी के साथ-साथ चलती है या औजार का अनुसरण करती है तथा एक समान सहारा प्रदान करती है।
"rest, roller",रोलर टेक,इस टेक में रोलर लगा होता है जिसका सम्पर्क कार्य से रहता है। रोलर सम्पर्क के कार्ण रोलर और कार्य के बीच घर्षण कम हो जाता है जबकि अन्य साधारण टेक में सर्पी घर्षण अधिक रहता है।
Right Angle Belt Drive,समकोण-पट्टा चालन,इसमें बेल्ट समकोण पर चलती है। इसका उपयोग पुरानी डिजाइन की छोटी स्तम्भ-बरमा मशीनों में होता है।
Right hand drill,दक्षिणावर्ती बरमा,अधिकांश बरमे दक्षिणावर्ती होते हैं। कर्तन के लिए इस प्रकार के बरमे को वामावर्त घुमाना पड़ता है।
Ring lubricator,बलय स्त्रेहक,"स्नेहन की इस युक्ति में एक छल्ला क्रैंक शाफ्ट पर आरोपित ररहता है, उसका नीचे का हिस्सा तेल में डूबा रहता है जब शाफ्ट घूमती है तो तेल छल्ले द्वारा ऊपर आ जाता है।"
Rivetting shop,रिवेटन शाला,"वह कार्यशाला, जहां पर धातु चादरों को स्थाई रूप से रिपटों से जोड़ा जाता है।"
Roller Chain,रोलर चेन,"यह विभिन्न रोलर कड़ियों की एक समान कड़ी होती है। यह एक दूसरे से पिन कड़ियों द्वारा संयोजित होती है। एक रोलर कड़ी में दो रोलर, दो बुश, तथा दो कड़ी प्लेटें होती हैं।"
Roll forging,वेल्लक फोर्जन/रोल फोर्जन,वेल्लक-फोर्जन प्रक्रम में धातु को अपेक्षित रूप देने के लिए घन-प्रहार की बजाए स्थिर/अपरिविर्ती दाब का प्रयोग किया जाता है यह दाब वेल्लक द्वा दिया जाता है।
Root Diameter,मूल व्यास,गरण्री के मूल सिलिंडर या मूल वृत्त का व्यास।
Runner,चक्राल,यह एक पहिया है जिसमें फलक लगे होते हैं। इनके ऊपर जल को निर्देशित करते हैं जिससे जल के दाब और गतिज ऊर्जा से पहिया घूमता है।
Running Free (mouthpiece),मुक्त प्रवाह,यदि संकुचन के बाद जैट मुखिका की दिशाओं को स्पर्श न करें तो मुखिका को मुक्त प्रवाह कहा जाता है।
Running Full,पूर्ण प्रवाह,यदि संकुचन के पश्चात जैट प्रसारित होकर सम्पूर्ण मुखिका को भर दे तो उसे पूर्ण प्रवाह मुखिका कहते हैं।
Safety valve,सुरक्षा वाल्व,"इस प्रकार का स्वतः विमोचक वाल्व, जो उस सुरक्षित दाब पर खुलता हैं जिसका मान पात्र जैसे वॉयलर या संपीडित घायुपात्र के प्रस्फोटी दाब से कम होता है।"
Sectionalized busbar,विभागीकृत बसबार,विद्युत रोधकों या परिपथ-वियोजकों और विलगकों की सहायता से अनुभागों में विपाटित बसबार । अन्तर्गम और बहिर्गम परिपाथों को दो अनुभागों में सम्मिलित किया जा सकता है ताकि बसबार के एक अनुभाग के बंद हो जाने के समय सप्लाई बनी रहें ।
Seeback effect,जैबेक प्रभाव,"ताप-वैद्युत प्रभाव । यदि दो (या अधिक) भिन्न धातुक चालकों का एक बंद विद्युत परिपथ बनाया जाय और भिन्न धातुओं के मध्य जंक्शनों को भिन्न तापमानों पर रखा जाय, तो विद्युत धारा परिपथ में प्रवाहित होगी। तापीय विद्युतवाहक बल, जोफि प्रयुक्त धातु और जंक्शन ताप दोनो पर निर्भर करता हैं, उत्पन्न होगा। इस प्रभाव का उपयोग तापयुग्मकों में ताप रुपान्तरण और तापक्रम-सूचन हेतु किया जाता है।"
Self excitation,स्वतः उत्तेजन,विद्युत-चुम्बकीय-मशीन में किसी बाहरी विद्युत स्त्रोत के बिना स्वतः ही कार्यकारी फ्लक्स की उत्पत्ति के लिए विद्युत धारा प्रवाहित करना ।
Selenium rectifier,सेलेनियम दिष्टकारी,इसे धातु दिष्टकारी भी कहते हैं इसमें सेल का आधार इस्पात या एलुमिनियम की प्लेट होती है। इस प्लेट पर सेलेनियम की पतली परत का लेप चढ़ा दिया जाता है। लेप चढ़ी प्लेटों का ऊष्मा उपचार किया जाता है और इसके पश्चात इसे सामान्यतः कैडमियम एलॉय की पतली परत से ढक दिता जाता है। कैडमियम धातु सर्वोत्तम दिष्टकरण अनुपात प्रदान करती है। सेटों के बन जाने के पश्चात उनमें विद्युत धारा विपरीत दिशा में प्रवाहित करके कार्यशील बनाया जाता है।
Self-levelling device,स्वतः समतलक युक्ति,एक स्वतः युक्ति। इसका उपयोग विद्युत उत्थाप-कार में विशेष खण्ड के ऊपर इसकी चाल को कम करने तथा भवन तल के ऊपर इसे रोकने के लिए किया जाता है। इसे कभी-कभी कार-समतलक युक्ति भी कहते हैं।
Self starting synchronous motor,स्वतः प्रवर्ती तुल्यकाली मोटर,एक तुल्यकाली मोटर । इसके ध्रुव-फलकों में लघुपथित-कुण्डली लगी होती है जिसके कारण यह प्रेरण-मोटर के समान प्रवर्तित होती है। जब इसकी चाल तुल्यकाली गति के निकट पहुंचती है तो दिष्टधारा उत्तेनन की सहायता से इसे तुल्यकालिता में लाया जाता है।
Semi-open impellor,अर्ध विवृत नोदक,यदि नोदक के फलकों में केबल आधार पट्टिका हो तथा शिखर पट्टिका न हो तो इस प्रकार के नोदक को अर्ध-विवृत नोदक कहते हैं ।
Sensible heat,संवेद्य ऊष्मा,"वह ऊष्मा, जो केवल तापक्रम में वृद्धि करती है।"
Series characteristic Motor,श्रेणी अभिलक्षण मोटर,"व्युत्कम चाल मोटर, जिसकी चाल लोड/भार के बढ़ने के साथ-साथ घटती जाती है। उदाहरणार्थ श्रेणी-कुण्डलित या गुरूतः संयुक्त-कुण्डलित मोटर ।"
Servomotor,सर्वो मोटर,"सर्वो-यंत्रावली में प्रयुक्त अन्तिम नियंत्रक अवयव, जोकि रैखिक या घूर्णी ह्येता है। यह अवयव प्रवर्धक अवयव से निर्गत प्राप्त करके भार को चलाता है। उदाहरण के लिए द्रवीय रैम रैखिक सर्वो मोटर होता है।"
Shaping,संरूपण,"(क) मशीन शाला में संरूपण-मशीन द्वारा समतल, अवतल या उत्तल क्षेत्रों का मशीनन ।
(ख) किसी भी वस्तु को बंकन या संचकन द्वारा या फालतू द्रव्य हटाकर अपेक्षित रूप प्रदान करना ।
(ग) बॉयलर प्लेटों आदि को तैयार करने के प्रक्रम को भी संरूपण कहा जाता है।"
Shaping Machine,संसूपण मशीन,"इस मशीन से लघु सपाट पृष्ठं एवं स्लॉट तैयार किये जाते हैं इसमें एक प्रत्यागामी रैम होता है जिसमें एक कर्तन औजार लगा होता है तथा यह क्षैतिज निर्देशिका पर चलता है इसके चालन में द्रुत वापसी-मोशन यंत्रावली का इस्तेमाल किया जाता है तथा इसमें औजार का मंच, प्रभरण हेतु चक्रमण करता है।"
Shaving,संकर्तन,यह एक परिष्करण संक्रिया है जिसमें ब्लैंक हिस्से से बहुत कम धातु हटाई जाती है।
Sheet metal shop,धातु चादर शाला,"वह कार्यशाला जहां पर धातु की चादर से विभिन्न प्रकार की वस्तुएं निर्मित की जाती हैं जैसे बाल्टी, लालटेन आदि।"
Silent chain,नीरव चेन,ये चेनें कई पतली पत्तियों के संयोजन से विभिन्न लम्बाइयों की बनी होती हैं। प्रत्येक पत्ती के दो सिरों पर दो उभरे हुए दाते होते हैं तथा बीच में थोड़ी खाली जगह होती है।
Single acting pump,एकल-क्रिय पंप,"वह पम्प, जिसमें जल पिस्टन के एक ही तरफ कार्य करता है ।"
Single flute drill,एकल नली बरमा,इस प्रकार के बरमें मुख्य रूप से लकड़ी या अन्य मृदु-पदार्थो में छिद्र बनाने के लिए प्रयुक्त होते हें।
Single helical gear,एकल कुण्डलित गियर,"स्पर गरारी की एक प्रकार, जिसकी फलक पर दांते अक्ष समान्तर न होकर कोण पर बने होते हैं। यह शाफ्ट को पार्श्व-प्रणोद भी देता है। चूँकि इसके पूरं फलक पर दांते एक ही कोण पर करे होते हैं अतः इसे एकल कुण्डलित गरारी कहते हैं।"
Single suction pump,एकल-चूषण पंप,यदि द्रव केसिंग की एक ही दिशा से पम्प में प्रविष्ट हो तो उसे एकल-चूषण पम्प कहते हैं ।
Snug fit,निकटतम अन्वायोजन/स्नग फिट,इस प्रकार की फिट को हाथ से समन्वायोजित किया जा सकता है तथा इसके लिए बहुत अधिक परिशुद्धता की आवश्यकता है। इस फिट में समन्वायोजित अवयवों के मध्य शून्य-छूट रहता है तथा समन्वायोजित होने के बाद अवयवों को हिलाया नहीं जा सकता। इस प्रकार की फिटों का इस्तेमाल उन्हीं स्थानों पर किया जाता है जहां पर अवयवों का हिलना स्वीकार्य नहीं है तथा गतिमान अवयवों को भारित अवस्था में मुक्त रूप से हिलाना सम्भव नहीं ।
Spark Ignition Engine,स्फुलिंग-प्रज्वलन-इंजन,"वह इंजन, जिसमें प्रज्वलन विद्युत स्फुलिंग द्वारा किया जाता है ।"
Spark Plug,स्कुलिंग प्लग,इंजनों में प्रज्वलन प्रारम्भ करने के लिए इसका कार्य उच्च वोल्टता की चिंगारी पैदा करना होता है।
Spear head,कुंताग्र,टरबाइन के ऊपर पड़ने वाले भार/लोड के अनुसार जल की मात्रा को नियंत्रित करने के लिये नॉजल में प्रयुक्त कुंत-शीर्षी-दंड ।
Specific speed (pump),विशिष्ट चाल (पंप),"पम्प की विशिष्ट चाल की परिभाषा है “उस ज्यामितीय समरुप पम्प का वेग जो एक मीटर दाबोच्यता के विरुद्ध प्रति सेकिण्ड एक घन मीटर जल प्रदायित करें"""
Speed Cones,गति शंकु,यह शंकु प्रतिशाफ्ट पर लगाये जाते हैं और चाल बदलने का कार्य करते हैं।
Spiral casing,सर्पिल कोश,कुण्डलित आकार का कोश। फ्रांसस टरबाइन का कोश इसी प्रकार का होता है।
Spiral gear,सर्पिल गियर,इन गियरों के दांतो की आकृति सर्पिल का ही एक अंश होती है। इसकी बनावट कुण्डलित गियर से मिलती है।
Splash lubricator,उच्छाल स्रेहक,इसका प्रयोग मंद वेग वाले अंतर्दहन इंजिनों में किया जाता है। इसमें तेल क्रेंक केस में भरा रहता है। क्रेंक घूमने से तेल छिटककर सभी भागों को स्नेहित कर देता हे।
Spring loaded safety valve,स्प्रिंग भारित सुरक्षा वाल्व,इस वाल्व का प्रयोग प्रायः लोकोमोटिव बॉयलरों में होता है। इसमें कुण्डली स्प्रिंग का प्रयोग होता है।
Spring washer,स्प्रिग-वाशर,"सामान्यतया खंडित वलयाकार वाशर, जो भार लगाने पर स्प्रिंग
केसमान क्रिया करता है प्रायः इसका प्रयोग नट-पाशन हेतु किया
जाता है। ।"
Spur Gear,स्पर गियर,वह गियर जो दो ऐसे समान्तर शाफ्टों को संयोजित करते हैं जिनके केन्द्रीय अक्ष एक ही समतल में पड़ते है।
Standard size,मानक आमाप/मानक साइज,मानक साइज मान्यताप्राप्त या स्वीकृत होते है जो लम्बाई की मान्यताप्राप्त यूनिट के विभिन्न उपविभाजन के समरुप होते हें । उन्हें प्रायः इँचों या मिलीमीटरों में व्यक्त किया जाता है लेकिन कभी-कभी स्वच्छ संख्या या अक्षर से व्यक्त करते हैं।
